season,yr,mnth,holiday,weekday,workingday,weathersit,temp,windspeed,cnt,pred_cnt
1,0,1,0,0,0,2,0.363478,0.248539,801,1612.5463531746
1,0,1,0,4,1,1,0.204348,0.0895652,1606,1270.07626915852
1,0,1,0,5,1,1,0.16087,0.126548,1421,1479.3681493894
1,0,1,0,0,0,1,0.231667,0.188433,1204,1306.24996903056
1,0,1,0,4,1,2,0.261667,0.195904,1927,1827.32569152661
1,0,1,0,5,1,1,0.1775,0.353242,1543,1460.85412900007
1,0,1,0,5,1,2,0.203478,0.1233,1167,1511.05445873283
1,0,2,0,2,1,2,0.192174,0.053213,1360,1670.913682195
1,0,2,0,4,1,1,0.144348,0.221935,1538,1630.82228834579
1,0,2,0,6,0,1,0.2225,0.203367,1472,1527.87242322057
1,0,2,1,1,0,2,0.303333,0.307846,1107,1574.64338083567
1,0,2,0,2,1,1,0.182222,0.195683,1450,1662.10397187754
1,0,2,0,4,1,2,0.295652,0.250496,1807,1941.75887242023
1,0,2,0,6,0,1,0.2825,0.186571,1969,1704.99869154253
1,0,3,0,1,1,1,0.261739,0.341352,1872,1757.68793088832
1,0,3,0,3,1,2,0.295833,0.22015,1891,2073.29097156292
1,0,3,0,2,1,2,0.317391,0.184309,2056,2143.51117394387
1,0,3,0,0,0,1,0.3325,0.207721,2471,2090.6483903425
2,0,3,0,4,1,2,0.285,0.243787,1865,2392.47886303158
2,0,3,0,6,0,1,0.265833,0.209571,2496,2356.97227263709
2,0,3,0,0,0,2,0.253043,0.1843,1693,2472.40677969824
2,0,3,0,3,1,2,0.3,0.172888,1536,2569.7282102538
2,0,4,0,3,1,1,0.595,0.241925,3944,4288.79093051855
2,0,4,0,0,0,2,0.581667,0.192175,4191,3932.00195783955
2,0,5,0,0,0,2,0.451667,0.106354,3351,4025.9381025641
2,0,5,0,3,1,2,0.414167,0.328996,2633,3128.06818849206
2,0,5,0,5,1,1,0.479167,0.228246,4608,4582.48287342411
2,0,5,0,0,0,1,0.528333,0.0746375,4333,4767.37846573565
2,0,5,0,5,1,2,0.5125,0.179725,4105,4066.96722260378
2,0,5,0,6,0,1,0.6025,0.12065,5805,4880.00959532787
2,0,5,0,0,0,1,0.604167,0.148008,4660,4695.87081657272
2,0,5,0,1,1,2,0.631667,0.233842,4274,4323.69604304029
2,0,5,0,2,1,2,0.66,0.207092,4492,4328.02483905678
2,0,5,0,2,1,1,0.775,0.111329,3982,4617.73379115159
2,0,6,0,6,0,1,0.635,0.123142,5342,5036.33283204379
2,0,6,0,4,1,2,0.808333,0.149883,3915,4375.6492797619
2,0,6,0,4,1,2,0.628333,0.206471,3767,4397.81099065934
2,0,6,0,1,1,2,0.635,0.155475,4010,4597.33192518315
3,0,6,0,6,0,1,0.695,0.209571,5202,5163.2393610842
3,0,6,0,2,1,1,0.744167,0.144283,4648,4656.90155638386
3,0,7,0,5,1,2,0.709167,0.225129,4040,4447.36308930653
3,0,7,0,0,0,1,0.719167,0.245033,5302,4662.66387165082
3,0,7,0,2,1,1,0.776667,0.1306,4541,4514.52775240038
3,0,7,0,3,1,1,0.768333,0.113817,4332,4519.59692000619
3,0,7,0,6,0,1,0.849167,0.131221,3285,4477.60289300977
3,0,7,0,0,0,1,0.83,0.169171,3606,4279.43594984876
3,0,7,0,4,1,1,0.779167,0.178479,4390,4608.59177233523
3,0,8,0,2,1,1,0.783333,0.20585,4845,4575.45843261967
3,0,8,0,5,1,1,0.710833,0.184696,4866,4711.11266937917
3,0,8,0,2,1,1,0.775,0.151121,4602,4766.45966811123
3,0,8,0,3,1,1,0.723333,0.143667,4694,4791.21563451546
3,0,8,0,0,0,1,0.707059,0.304659,4334,4449.23758908254
3,0,9,0,5,1,2,0.643333,0.139929,4727,4055.96820687135
3,0,9,0,2,1,1,0.650833,0.141804,4763,4921.51653063578
4,0,9,0,3,1,2,0.635,0.148629,3907,4258.42880106209
4,0,9,0,4,1,1,0.616667,0.172883,4839,4784.06391344591
4,0,10,0,1,1,2,0.384167,0.0833458,3570,3734.37201347118
4,0,10,0,4,1,1,0.494167,0.134954,4765,4563.15633250707
4,0,10,0,0,0,1,0.540833,0.06345,5511,5044.06622321429
4,0,10,0,3,1,3,0.541739,0.243339,2424,2734.51172299433
4,0,10,0,6,0,1,0.4225,0.0926667,4308,4285.37671001221
4,0,10,0,1,1,1,0.463333,0.118792,4187,4250.28449015769
4,0,11,0,2,1,1,0.400833,0.135571,4068,3733.70000949364
4,0,11,0,6,0,1,0.356667,0.212062,4067,3449.2624639681
4,0,11,0,0,0,1,0.440833,0.281721,3717,3421.81817361111
4,0,11,0,4,1,2,0.341667,0.305362,3053,3208.1449717521
4,0,11,0,1,1,1,0.503478,0.142122,3867,4111.47640304092
4,0,12,0,4,1,1,0.3125,0.220158,3727,3344.31741439977
4,0,12,0,0,0,1,0.330833,0.0839583,3485,3517.9277030554
4,0,12,0,1,1,2,0.385833,0.0622083,3811,3697.94953094838
1,0,12,0,4,1,2,0.423333,0.047275,3068,2917.83792214012
1,0,12,0,2,1,2,0.325,0.18845,1162,2328.58236063218
1,1,1,0,3,1,2,0.1075,0.1847,2368,2487.38653513319
1,1,1,0,2,1,2,0.373043,0.34913,2935,3569.10191794675
1,1,1,0,4,1,1,0.19,0.220158,3292,2994.76572075422
1,1,1,0,6,0,2,0.173333,0.222642,1301,2476.54562834075
1,1,1,0,1,1,2,0.218333,0.110708,2432,2522.10412429595
1,1,1,0,2,1,1,0.39,0.261817,4509,4044.7785841164
1,1,2,0,6,0,2,0.264167,0.121896,2832,2871.73792590743
1,1,2,0,2,1,2,0.319167,0.141179,3922,3497.58264954848
1,1,2,0,5,1,1,0.343333,0.205846,4154,3918.59191164888
1,1,2,0,0,0,1,0.279167,0.205229,3389,3199.09280558017
1,1,2,0,1,1,1,0.366667,0.268033,4322,3822.92535171889
1,1,3,0,0,0,1,0.361739,0.222587,4911,3615.52131321143
1,1,3,0,3,1,1,0.5725,0.115062,6312,6106.1388996053
1,1,3,0,5,1,2,0.435833,0.113192,4378,5091.58889595397
1,1,3,0,1,1,1,0.545,0.162317,6153,5749.4556540404
2,1,3,0,4,1,1,0.554167,0.117562,6871,6414.65001997627
2,1,4,0,2,1,1,0.466667,0.100133,6772,6176.47929189086
2,1,4,0,3,1,2,0.463333,0.167912,4367,5657.79759262104
2,1,4,0,3,1,1,0.476667,0.118792,6196,6407.70469124041
2,1,4,0,4,1,2,0.498333,0.176625,5026,5688.45167667587
2,1,5,0,4,1,2,0.56,0.133696,6421,6228.15340397328
2,1,5,0,0,0,2,0.5625,0.149879,6359,5980.97688124287
2,1,5,0,3,1,2,0.575,0.216412,4717,5912.58022342883
2,1,5,0,1,1,2,0.573333,0.212692,2843,5874.08542413866
2,1,5,0,1,1,2,0.598333,0.233204,4359,5881.30543604342
2,1,5,0,2,1,2,0.615,0.118167,6073,5732.48378665033
2,1,5,0,0,0,1,0.69,0.215171,6591,6518.73979211067
2,1,5,1,1,0,1,0.7125,0.196521,6043,6330.62227317127
2,1,6,0,5,1,1,0.649167,0.175383,7736,6852.08900017231
2,1,6,0,6,0,1,0.710833,0.144287,7498,7011.30845567396
2,1,6,0,5,1,1,0.639167,0.176617,7665,6925.75380499688
3,1,6,0,4,1,1,0.805833,0.118787,5905,6521.30019710342
3,1,6,0,1,1,1,0.715833,0.300383,6779,6636.25820029544
3,1,7,0,0,0,1,0.815833,0.168529,5531,6132.56354754372
3,1,7,0,0,0,1,0.8225,0.125629,4672,6251.03358714995
3,1,7,0,2,1,2,0.720833,0.151737,6290,6640.04176843776
3,1,7,0,3,1,1,0.793333,0.137442,5713,6902.31148498794
3,1,7,0,5,1,2,0.665833,0.208967,5870,6474.27356439266
3,1,8,0,5,1,2,0.715833,0.238813,5786,6539.57322925021
3,1,8,0,3,1,1,0.706667,0.169771,7347,7373.65733143073
3,1,8,0,4,1,1,0.719167,0.141796,7605,7301.77341122123
3,1,8,0,5,1,1,0.723333,0.231354,7148,7015.29104666041
3,1,8,0,3,1,1,0.6675,0.0702833,7375,7489.08567182182
3,1,8,0,2,1,1,0.728333,0.190925,7040,6841.3451736007
3,1,9,0,6,0,2,0.659167,0.281104,5976,6221.37174291628
3,1,9,0,2,1,1,0.5775,0.0920542,7767,7252.35729507875
3,1,9,0,4,1,1,0.546667,0.118167,7720,7522.19863175659
3,1,9,0,6,0,1,0.65,0.283583,8395,7675.88293352744
4,1,9,0,4,1,2,0.65,0.134342,7393,6725.73195727729
4,1,9,0,6,0,1,0.5425,0.227604,8555,7747.23817823413
4,1,10,0,0,0,1,0.521667,0.278612,6639,6995.0726014356
4,1,10,0,2,1,1,0.468333,0.182221,7534,6744.27166053152
4,1,10,0,4,1,2,0.5225,0.236937,7509,6500.80033804995
4,1,10,0,2,1,1,0.544167,0.0945458,7466,6965.84425847524
4,1,10,0,3,1,2,0.3575,0.166667,5566,4776.18804166667
4,1,11,0,0,0,1,0.325833,0.179108,5107,4564.55166572682
4,1,11,0,6,0,1,0.389167,0.0578458,6536,5198.38947250338
4,1,11,1,1,0,1,0.485,0.173517,6269,5565.43935663642
4,1,11,0,3,1,1,0.289167,0.199625,5495,5142.10440344619
4,1,11,0,4,1,2,0.321667,0.152987,5445,4914.5023610613
4,1,11,0,6,0,1,0.325,0.179729,5629,4971.31963153879
4,1,11,0,1,1,2,0.380833,0.235067,5499,4897.16841676948
4,1,11,0,6,0,1,0.278333,0.376871,2277,4156.88859279609
4,1,11,0,3,1,1,0.296667,0.210821,5260,5112.49294511285
4,1,11,0,4,1,1,0.28087,0.115522,5323,5062.66280980372
4,1,12,0,6,0,2,0.298333,0.0597042,5191,4659.52145845821
4,1,12,0,1,1,1,0.4525,0.0827208,6234,5857.44776636433
4,1,12,0,3,1,1,0.438333,0.324021,5729,5481.01605063562
4,1,12,0,0,0,2,0.384167,0.157975,3228,4465.53737626956
4,1,12,0,2,1,2,0.353333,0.296037,5501,4413.47368958694
1,1,12,0,4,1,2,0.254167,0.350133,2114,2654.49953302611
1,1,12,0,5,1,2,0.253333,0.155471,3095,2578.1346174417
